FIPS,population,county,state,urban
18051,33656,Gibson County,INDIANA,Urban
18111,13992,Newton County,INDIANA,Urban
18117,19545,Orange County,INDIANA,Rural
18141,270216,St. Joseph County,INDIANA,Urban
18085,79035,Kosciusko County,INDIANA,Rural
18099,46461,Marshall County,INDIANA,Rural
18155,10685,Switzerland County,INDIANA,Rural
18163,181291,Vanderburgh County,INDIANA,Urban
18009,12013,Blackford County,INDIANA,Rural
18143,23759,Scott County,INDIANA,Rural
18105,146461,Monroe County,INDIANA,Urban
18039,204558,Elkhart County,INDIANA,Urban
18025,10569,Crawford County,INDIANA,Rural
18017,37880,Cass County,INDIANA,Rural
18097,951869,Marion County,INDIANA,Urban
18177,66342,Wayne County,INDIANA,Rural
19023,14628,Butler County,IOWA,Rural
19071,6946,Fremont County,IOWA,Rural
19079,14997,Hamilton County,IOWA,Rural
19173,6167,Taylor County,IOWA,Rural
19175,12358,Union County,IOWA,Rural
19195,7445,Worth County,IOWA,Rural
19159,4964,Ringgold County,IOWA,Rural
19001,7085,Adair County,IOWA,Rural
19037,12026,Chickasaw County,IOWA,Rural
19039,9360,Clarke County,IOWA,Rural
19059,17127,Dickinson County,IOWA,Rural
19103,148577,Johnson County,IOWA,Urban
19107,10188,Keokuk County,IOWA,Rural
19171,17032,Tama County,IOWA,Rural
19179,35141,Wapello County,IOWA,Rural
19069,10162,Franklin County,IOWA,Rural
19027,20281,Carroll County,IOWA,Rural
19031,18457,Cedar County,IOWA,Rural
19067,15786,Floyd County,IOWA,Rural
19073,8950,Greene County,IOWA,Rural
19115,11178,Louisa County,IOWA,Rural
19119,11776,Lyon County,IOWA,Rural
13291,23288,Union County,GEORGIA,Rural
37017,33407,Bladen County,NORTH CAROLINA,Rural
37031,69070,Carteret County,NORTH CAROLINA,Rural
37015,19380,Bertie County,NORTH CAROLINA,Rural
37117,22849,Martin County,NORTH CAROLINA,Rural
37143,13430,Perquimans County,NORTH CAROLINA,Rural
37157,91077,Rockingham County,NORTH CAROLINA,Urban
37029,10551,Camden County,NORTH CAROLINA,Rural
37071,219271,Gaston County,NORTH CAROLINA,Urban
37125,97294,Moore County,NORTH CAROLINA,Rural
37167,61588,Stanly County,NORTH CAROLINA,Urban
37199,17760,Yancey County,NORTH CAROLINA,Rural
37037,71338,Chatham County,NORTH CAROLINA,Urban
37101,196870,Johnston County,NORTH CAROLINA,Urban
37145,39345,Person County,NORTH CAROLINA,Urban
37009,26863,Ashe County,NORTH CAROLINA,Rural
37107,56756,Lenoir County,NORTH CAROLINA,Rural
37133,195069,Onslow County,NORTH CAROLINA,Urban
37161,66599,Rutherford County,NORTH CAROLINA,Rural
37197,37602,Yadkin County,NORTH CAROLINA,Urban
37023,89968,Burke County,NORTH CAROLINA,Urban
38097,8008,Traill County,NORTH DAKOTA,Rural
38021,4938,Dickey County,NORTH DAKOTA,Rural
38101,68812,Ward County,NORTH DAKOTA,Rural
38067,6947,Pembina County,NORTH DAKOTA,Rural
38041,2547,Hettinger County,NORTH DAKOTA,Rural
38017,176975,Cass County,NORTH DAKOTA,Urban
38029,3310,Emmons County,NORTH DAKOTA,Rural
38077,16254,Richland County,NORTH DAKOTA,Rural
38001,2311,Adams County,NORTH DAKOTA,Rural
38027,2301,Eddy County,NORTH DAKOTA,Rural
38057,8462,Mercer County,NORTH DAKOTA,Rural
38073,5314,Ransom County,NORTH DAKOTA,Rural
38085,4373,Sioux County,NORTH DAKOTA,Rural
38033,1845,Golden Valley County,NORTH DAKOTA,Rural
38095,2224,Towner County,NORTH DAKOTA,Rural
38023,2335,Divide County,NORTH DAKOTA,Rural
38081,3872,Sargent County,NORTH DAKOTA,Rural
39105,23078,Meigs County,OHIO,Rural
39021,38845,Champaign County,OHIO,Rural
39057,166502,Greene County,OHIO,Urban
39087,60184,Lawrence County,OHIO,Urban
39115,14640,Morgan County,OHIO,Rural
39175,22000,Wyandot County,OHIO,Rural
39043,74780,Erie County,OHIO,Urban
39091,45316,Logan County,OHIO,Rural
39153,541334,Summit County,OHIO,Urban
16059,7847,Lemhi County,IDAHO,Rural
16075,23260,Payette County,IDAHO,Rural
16009,9138,Benewah County,IDAHO,Rural
16017,43611,Bonner County,IDAHO,Rural
16033,913,Clark County,IDAHO,Rural
16037,4169,Custer County,IDAHO,Rural
16039,26743,Elmore County,IDAHO,Rural
16043,13020,Fremont County,IDAHO,Rural
16065,39100,Madison County,IDAHO,Rural
16079,12609,Shoshone County,IDAHO,Rural
16049,16411,Idaho County,IDAHO,Rural
16081,11426,Teton County,IDAHO,Rural
16077,7671,Power County,IDAHO,Urban
16087,10057,Washington County,IDAHO,Rural
17067,17983,Hancock County,ILLINOIS,Rural
17119,264776,Madison County,ILLINOIS,Urban
17063,50666,Grundy County,ILLINOIS,Urban
17091,110637,Kankakee County,ILLINOIS,Urban
17131,15589,Mercer County,ILLINOIS,Urban
17043,929060,DuPage County,ILLINOIS,Urban
17003,6260,Alexander County,ILLINOIS,Urban
17129,12306,Menard County,ILLINOIS,Urban
17099,109737,LaSalle County,ILLINOIS,Rural
17031,5198275,Cook County,ILLINOIS,Urban
17115,105528,Macon County,ILLINOIS,Urban
17177,45093,Stephenson County,ILLINOIS,Rural
17191,16402,Wayne County,ILLINOIS,Rural
17203,38700,Woodford County,ILLINOIS,Urban
17055,38923,Franklin County,ILLINOIS,Rural
17109,30479,McDonough County,ILLINOIS,Rural
17111,307714,McHenry County,ILLINOIS,Urban
20071,1185,Greeley County,KANSAS,Rural
20051,28775,Ellis County,KANSAS,Rural
20107,9671,Linn County,KANSAS,Urban
20175,22349,Seward County,KANSAS,Rural
20091,591506,Johnson County,KANSAS,Urban
20121,33417,Miami County,KANSAS,Urban
20207,3157,Woodson County,KANSAS,Rural
20135,2876,Ness County,KANSAS,Rural
20011,14608,Bourbon County,KANSAS,Rural
20097,2505,Kiowa County,KANSAS,Rural
20177,177852,Shawnee County,KANSAS,Urban
20019,3323,Chautauqua County,KANSAS,Rural
20155,62765,Reno County,KANSAS,Rural
20043,7684,Doniphan County,KANSAS,Urban
20081,4018,Haskell County,KANSAS,Rural
20171,4917,Scott County,KANSAS,Rural
20013,9626,Brown County,KANSAS,Rural
20147,5340,Phillips County,KANSAS,Rural
20039,2860,Decatur County,KANSAS,Rural
21079,17445,Garrard County,KENTUCKY,Rural
21037,92861,Campbell County,KENTUCKY,Urban
21063,7510,Elliott County,KENTUCKY,Rural
21123,14204,Larue County,KENTUCKY,Urban
21167,21592,Mercer County,KENTUCKY,Rural
21207,17778,Russell County,KENTUCKY,Rural
21229,12023,Washington County,KENTUCKY,Rural
21009,43884,Barren County,KENTUCKY,Rural
21091,8720,Hancock County,KENTUCKY,Urban
21093,108527,Hardin County,KENTUCKY,Urban
21149,9283,McLean County,KENTUCKY,Urban
21197,12304,Powell County,KENTUCKY,Rural
21033,12702,Caldwell County,KENTUCKY,Rural
21019,47682,Boyd County,KENTUCKY,Urban
21067,320601,Fayette County,KENTUCKY,Urban
21115,22634,Johnson County,KENTUCKY,Rural
21175,13288,Morgan County,KENTUCKY,Rural
21199,64350,Pulaski County,KENTUCKY,Rural
21001,19222,Adair County,KENTUCKY,Rural
21025,12977,Breathitt County,KENTUCKY,Rural
21099,18729,Hart County,KENTUCKY,Rural
21223,8558,Trimble County,KENTUCKY,Urban
21105,4510,Hickman County,KENTUCKY,Rural
21143,8271,Lyon County,KENTUCKY,Rural
21135,13417,Lewis County,KENTUCKY,Rural
21239,26318,Woodford County,KENTUCKY,Urban
21131,10283,Leslie County,KENTUCKY,Rural
21127,15671,Lawrence County,KENTUCKY,Rural
21145,65268,McCracken County,KENTUCKY,Rural
46015,5258,Brule County,SOUTH DAKOTA,Rural
46053,4186,Gregory County,SOUTH DAKOTA,Rural
46099,188674,Minnehaha County,SOUTH DAKOTA,Urban
46025,3685,Clark County,SOUTH DAKOTA,Rural
46077,4944,Kingsbury County,SOUTH DAKOTA,Rural
46027,13957,Clay County,SOUTH DAKOTA,Rural
46041,5833,Dewey County,SOUTH DAKOTA,Rural
46065,17608,Hughes County,SOUTH DAKOTA,Rural
46111,2379,Sanborn County,SOUTH DAKOTA,Rural
46059,3256,Hand County,SOUTH DAKOTA,Rural
46135,22717,Yankton County,SOUTH DAKOTA,Rural
46005,18346,Beadle County,SOUTH DAKOTA,Rural
46035,19871,Davison County,SOUTH DAKOTA,Rural
46073,2018,Jerauld County,SOUTH DAKOTA,Rural
46117,3017,Stanley County,SOUTH DAKOTA,Rural
46107,2315,Potter County,SOUTH DAKOTA,Rural
46023,9349,Charles Mix County,SOUTH DAKOTA,Rural
46091,4891,Marshall County,SOUTH DAKOTA,Rural
46105,2897,Perkins County,SOUTH DAKOTA,Rural
21235,36131,Whitley County,KENTUCKY,Rural
21071,36456,Floyd County,KENTUCKY,Rural
21117,165668,Kenton County,KENTUCKY,Urban
21153,12491,Magoffin County,KENTUCKY,Rural
21205,24507,Rowan County,KENTUCKY,Rural
21217,25571,Taylor County,KENTUCKY,Rural
21039,4784,Carlisle County,KENTUCKY,Rural
21065,14224,Estill County,KENTUCKY,Rural
22079,130970,Rapides Parish,LOUISIANA,Urban
22105,132057,Tangipahoa Parish,LOUISIANA,Rural
22123,11041,West Carroll Parish,LOUISIANA,Rural
22021,9992,Caldwell Parish,LOUISIANA,Rural
22035,7096,East Carroll Parish,LOUISIANA,Rural
22039,33589,Evangeline Parish,LOUISIANA,Rural
22087,46266,St. Bernard Parish,LOUISIANA,Urban
22121,26101,West Baton Rouge Parish,LOUISIANA,Urban
22081,8565,Red River Parish,LOUISIANA,Rural
22069,38769,Natchitoches Parish,LOUISIANA,Rural
22025,9766,Catahoula Parish,LOUISIANA,Rural
22041,20238,Franklin Parish,LOUISIANA,Rural
22007,22478,Assumption Parish,LOUISIANA,Rural
22113,59865,Vermilion Parish,LOUISIANA,Rural
22029,19778,Concordia Parish,LOUISIANA,Rural
23017,57550,Oxford County,MAINE,Rural
23019,151774,Penobscot County,MAINE,Urban
23001,107602,Androscoggin County,MAINE,Urban
23005,292307,Cumberland County,MAINE,Urban
23031,204316,York County,MAINE,Urban
23025,50520,Somerset County,MAINE,Rural
24047,51765,Worcester County,MARYLAND,Rural
24041,37167,Talbot County,MARYLAND,Rural
25001,213496,Barnstable County,MASSACHUSETTS,Urban
25003,126425,Berkshire County,MASSACHUSETTS,Urban
25023,515303,Plymouth County,MASSACHUSETTS,Urban
25021,700437,Norfolk County,MASSACHUSETTS,Urban
25019,11168,Nantucket County,MASSACHUSETTS,Rural
26005,116143,Allegan County,MICHIGAN,Rural
26003,9151,Alger County,MICHIGAN,Rural
26127,26416,Oceana County,MICHIGAN,Rural
26035,30651,Clare County,MICHIGAN,Rural
26073,70688,Isabella County,MICHIGAN,Rural
26157,52939,Tuscola County,MICHIGAN,Rural
26007,28520,Alpena County,MICHIGAN,Rural
26111,83355,Midland County,MICHIGAN,Rural
26135,8248,Oscoda County,MICHIGAN,Rural
26037,78389,Clinton County,MICHIGAN,Urban
26057,40916,Gratiot County,MICHIGAN,Rural
26091,98381,Lenawee County,MICHIGAN,Rural
26117,63413,Montcalm County,MICHIGAN,Rural
26147,159247,St. Clair County,MICHIGAN,Urban
26161,367000,Washtenaw County,MICHIGAN,Urban
26027,51523,Cass County,MICHIGAN,Urban
26143,23851,Roscommon County,MICHIGAN,Rural
26023,43513,Branch County,MICHIGAN,Rural
26075,158636,Jackson County,MICHIGAN,Urban
26099,870325,Macomb County,MICHIGAN,Urban
26013,8421,Baraga County,MICHIGAN,Rural
26045,109456,Eaton County,MICHIGAN,Urban
13293,26236,Upson County,GEORGIA,Rural
13303,20436,Washington County,GEORGIA,Rural
13311,29489,White County,GEORGIA,Rural
13225,27145,Peach County,GEORGIA,Rural
13223,159825,Paulding County,GEORGIA,Urban
13229,19250,Pierce County,GEORGIA,Rural
13231,18327,Pike County,GEORGIA,Urban
13245,201852,Richmond County,GEORGIA,Urban
13251,13989,Screven County,GEORGIA,Rural
13267,25382,Tattnall County,GEORGIA,Rural
13019,19152,Berrien County,GEORGIA,Rural
17135,28828,Montgomery County,ILLINOIS,Rural
17195,56016,Whiteside County,ILLINOIS,Rural
17001,66085,Adams County,ILLINOIS,Rural
17027,37634,Clinton County,ILLINOIS,Urban
17037,104366,DeKalb County,ILLINOIS,Urban
17047,6455,Edwards County,ILLINOIS,Rural
17079,9594,Jasper County,ILLINOIS,Rural
17081,37985,Jefferson County,ILLINOIS,Rural
17183,77563,Vermilion County,ILLINOIS,Urban
17197,689315,Will County,ILLINOIS,Urban
17199,67102,Williamson County,ILLINOIS,Rural
17023,15716,Clark County,ILLINOIS,Rural
17041,19623,Douglas County,ILLINOIS,Rural
17049,34137,Effingham County,ILLINOIS,Rural
17057,35092,Fulton County,ILLINOIS,Rural
17061,13132,Greene County,ILLINOIS,Rural
17065,8176,Hamilton County,ILLINOIS,Rural
17069,3939,Hardin County,ILLINOIS,Rural
17073,49267,Henry County,ILLINOIS,Urban
17087,12494,Johnson County,ILLINOIS,Rural
17095,50508,Knox County,ILLINOIS,Rural
17105,36040,Livingston County,ILLINOIS,Rural
17171,5005,Scott County,ILLINOIS,Rural
17179,133195,Tazewell County,ILLINOIS,Urban
17187,17146,Warren County,ILLINOIS,Rural
18061,39940,Harrison County,INDIANA,Urban
18091,110154,LaPorte County,INDIANA,Urban
18169,31389,Wabash County,INDIANA,Rural
18073,33447,Jasper County,INDIANA,Urban
18101,10212,Martin County,INDIANA,Rural
18127,168636,Porter County,INDIANA,Urban
18137,28391,Ripley County,INDIANA,Rural
18147,20447,Spencer County,INDIANA,Rural
18159,15162,Tipton County,INDIANA,Urban
18167,107459,Vigo County,INDIANA,Urban
18173,62280,Warrick County,INDIANA,Urban
18033,42927,DeKalb County,INDIANA,Rural
18087,39193,LaGrange County,INDIANA,Rural
18139,16641,Rush County,INDIANA,Rural
18011,65544,Boone County,INDIANA,Urban
26053,15061,Gogebic County,MICHIGAN,Rural
27093,23105,Meeker County,MINNESOTA,Rural
27131,66185,Rice County,MINNESOTA,Rural
27125,4015,Red Lake County,MINNESOTA,Rural
27027,63446,Clay County,MINNESOTA,Urban
27045,20949,Fillmore County,MINNESOTA,Rural
27119,31521,Polk County,MINNESOTA,Urban
27143,14892,Sibley County,MINNESOTA,Rural
27165,10972,Watonwan County,MINNESOTA,Rural
27011,4996,Big Stone County,MINNESOTA,Rural
27021,29268,Cass County,MINNESOTA,Rural
27057,21019,Hubbard County,MINNESOTA,Rural
27091,19852,Martin County,MINNESOTA,Rural
27105,21734,Nobles County,MINNESOTA,Rural
27141,94463,Sherburne County,MINNESOTA,Urban
27019,101949,Carver County,MINNESOTA,Urban
27085,35832,McLeod County,MINNESOTA,Rural
27123,544442,Ramsey County,MINNESOTA,Urban
27169,50725,Winona County,MINNESOTA,Rural
27039,20669,Dodge County,MINNESOTA,Urban
27035,64217,Crow Wing County,MINNESOTA,Rural
27171,134438,Wright County,MINNESOTA,Urban
27081,5677,Lincoln County,MINNESOTA,Rural
27095,25865,Mille Lacs County,MINNESOTA,Rural
27017,35633,Carlton County,MINNESOTA,Urban
27065,16089,Kanabec County,MINNESOTA,Rural
1115,87989,St. Clair County,ALABAMA,Urban
1043,82853,Cullman County,ALABAMA,Rural
1069,104702,Houston County,ALABAMA,Urban
1125,207305,Tuscaloosa County,ALABAMA,Urban
1031,51662,Coffee County,ALABAMA,Rural
1021,44055,Chilton County,ALABAMA,Urban
1037,10757,Coosa County,ALABAMA,Rural
1055,102748,Etowah County,ALABAMA,Urban
1075,13885,Lamar County,ALABAMA,Rural
1013,19828,Butler County,ALABAMA,Rural
1127,64110,Walker County,ALABAMA,Urban
1063,8324,Greene County,ALABAMA,Urban
1011,10248,Bullock County,ALABAMA,Rural
1017,33660,Chambers County,ALABAMA,Rural
2100,2518,Haines Borough,ALASKA,Rural
2110,32227,Juneau City and Borough,ALASKA,Rural
2290,5377,Yukon-Koyukuk Census Area,ALASKA,Rural
4019,1027207,Pima County,ARIZONA,Urban
4007,53546,Gila County,ARIZONA,Rural
4003,125867,Cochise County,ARIZONA,Rural
4001,71511,Apache County,ARIZONA,Rural
4027,209468,Yuma County,ARIZONA,Urban
4017,109270,Navajo County,ARIZONA,Rural
5021,14889,Clay County,ARKANSAS,Rural
5043,18417,Drew County,ARKANSAS,Rural
5121,17695,Randolph County,ARKANSAS,Rural
5009,37331,Boone County,ARKANSAS,Rural
5079,13455,Lincoln County,ARKANSAS,Urban
5035,48672,Crittenden County,ARKANSAS,Urban
5045,123624,Faulkner County,ARKANSAS,Urban
13295,69039,Walker County,GEORGIA,Urban
13135,915046,Gwinnett County,GEORGIA,Urban
13013,78991,Barrow County,GEORGIA,Urban
13049,13040,Charlton County,GEORGIA,Rural
13065,6686,Clinch County,GEORGIA,Rural
13015,104919,Bartow County,GEORGIA,Urban
13097,143316,Douglas County,GEORGIA,Urban
13131,24828,Grady County,GEORGIA,Rural
13141,8515,Hancock County,GEORGIA,Rural
13313,104237,Whitfield County,GEORGIA,Urban
13193,13305,Macon County,GEORGIA,Rural
13285,69919,Troup County,GEORGIA,Rural
13145,34105,Harris County,GEORGIA,Urban
13249,5221,Schley County,GEORGIA,Rural
13321,20494,Worth County,GEORGIA,Urban
13093,13736,Dooly County,GEORGIA,Rural
13109,10687,Evans County,GEORGIA,Rural
13307,2610,Webster County,GEORGIA,Rural
13103,60477,Effingham County,GEORGIA,Urban
13125,2996,Glascock County,GEORGIA,Rural
13239,2289,Quitman County,GEORGIA,Rural
13051,288496,Chatham County,GEORGIA,Urban
13167,9691,Johnson County,GEORGIA,Rural
13173,10380,Lanier County,GEORGIA,Urban
13195,29218,Madison County,GEORGIA,Urban
13205,22244,Mitchell County,GEORGIA,Rural
13277,40541,Tift County,GEORGIA,Rural
13233,41908,Polk County,GEORGIA,Rural
13263,6321,Talbot County,GEORGIA,Rural
13273,8737,Terrell County,GEORGIA,Urban
13275,44630,Thomas County,GEORGIA,Rural
13319,9010,Wilkinson County,GEORGIA,Rural
13221,14931,Oglethorpe County,GEORGIA,Urban
13243,6973,Randolph County,GEORGIA,Rural
13299,35593,Ware County,GEORGIA,Rural
13305,29788,Wayne County,GEORGIA,Rural
13315,8824,Wilcox County,GEORGIA,Rural
13009,45111,Baldwin County,GEORGIA,Rural
13031,76120,Bulloch County,GEORGIA,Rural
13061,2951,Clay County,GEORGIA,Rural
13101,3981,Echols County,GEORGIA,Urban
13089,749323,DeKalb County,GEORGIA,Urban
13143,29227,Haralson County,GEORGIA,Urban
13163,15618,Jefferson County,GEORGIA,Rural
13181,7856,Lincoln County,GEORGIA,Rural
13213,39724,Murray County,GEORGIA,Urban
13235,11216,Pulaski County,GEORGIA,Rural
13241,16645,Rabun County,GEORGIA,Rural
13281,11617,Towns County,GEORGIA,Rural
13283,6795,Treutlen County,GEORGIA,Rural
13155,9320,Irwin County,GEORGIA,Rural
13001,18440,Appling County,GEORGIA,Rural
39149,48749,Shelby County,OHIO,Rural
39171,36816,Williams County,OHIO,Rural
39029,103190,Columbiana County,OHIO,Rural
39051,42253,Fulton County,OHIO,Urban
39053,30088,Gallia County,OHIO,Rural
39099,229961,Mahoning County,OHIO,Urban
39145,76040,Scioto County,OHIO,Rural
39117,35043,Morrow County,OHIO,Urban
5089,16476,Marion County,ARKANSAS,Rural
5129,7908,Searcy County,ARKANSAS,Rural
5007,265759,Benton County,ARKANSAS,Urban
5059,33597,Hot Spring County,ARKANSAS,Rural
5087,16211,Madison County,ARKANSAS,Urban
8033,1857,Dolores County,COLORADO,Rural
8057,1261,Jackson County,COLORADO,Rural
8083,26031,Montezuma County,COLORADO,Rural
8013,322510,Boulder County,COLORADO,Urban
8125,10003,Yuma County,COLORADO,Rural
8107,25072,Routt County,COLORADO,Rural
8019,9495,Clear Creek County,COLORADO,Urban
8101,165982,Pueblo County,COLORADO,Urban
8093,17867,Park County,COLORADO,Urban
8077,151218,Mesa County,COLORADO,Urban
8041,698974,El Paso County,COLORADO,Urban
8005,644560,Arapahoe County,COLORADO,Urban
10003,556165,New Castle County,DELAWARE,Urban
10001,176699,Kent County,DELAWARE,Urban
9005,182002,Litchfield County,CONNECTICUT,Rural
12099,1465027,Palm Beach County,FLORIDA,Urban
12086,2699428,Miami-Dade County,FLORIDA,Urban
12037,11811,Franklin County,FLORIDA,Rural
12047,14326,Hamilton County,FLORIDA,Rural
12119,125044,Sumter County,FLORIDA,Rural
12059,19432,Holmes County,FLORIDA,Rural
12071,737468,Lee County,FLORIDA,Urban
12021,371453,Collier County,FLORIDA,Urban
12101,524602,Pasco County,FLORIDA,Urban
12055,103437,Highlands County,FLORIDA,Rural
12027,36903,DeSoto County,FLORIDA,Rural
12023,69968,Columbia County,FLORIDA,Rural
12107,73252,Putnam County,FLORIDA,Rural
12125,15303,Union County,FLORIDA,Rural
12075,40403,Levy County,FLORIDA,Rural
12127,536487,Volusia County,FLORIDA,Urban
12079,18460,Madison County,FLORIDA,Rural
12033,313491,Escambia County,FLORIDA,Urban
12091,203794,Okaloosa County,FLORIDA,Urban
13187,32402,Lumpkin County,GEORGIA,Rural
13201,5787,Miller County,GEORGIA,Rural
13219,38132,Oconee County,GEORGIA,Urban
13151,225356,Henry County,GEORGIA,Urban
13183,18692,Long County,GEORGIA,Urban
13257,25750,Stephens County,GEORGIA,Rural
13161,15036,Jeff Davis County,GEORGIA,Rural
13037,6365,Calhoun County,GEORGIA,Rural
13021,153200,Bibb County,GEORGIA,Urban
13197,8432,Marion County,GEORGIA,Urban
13023,12807,Bleckley County,GEORGIA,Rural
13119,22766,Franklin County,GEORGIA,Rural
13171,18672,Lamar County,GEORGIA,Urban
13107,22533,Emanuel County,GEORGIA,Rural
13159,13916,Jasper County,GEORGIA,Urban
13179,61349,Liberty County,GEORGIA,Urban
13253,8321,Seminole County,GEORGIA,Rural
13289,8229,Twiggs County,GEORGIA,Urban
13269,8116,Taylor County,GEORGIA,Rural
13279,26972,Toombs County,GEORGIA,Rural
39135,41093,Preble County,OHIO,Urban
39003,103175,Allen County,OHIO,Urban
39033,41821,Crawford County,OHIO,Rural
39059,39111,Guernsey County,OHIO,Rural
39107,40884,Mercer County,OHIO,Rural
39023,134726,Clark County,OHIO,Urban
39093,307670,Lorain County,OHIO,Urban
39113,531670,Montgomery County,OHIO,Urban
39165,229132,Warren County,OHIO,Urban
39007,97830,Ashtabula County,OHIO,Rural
40071,44402,Kay County,OKLAHOMA,Rural
40035,14390,Craig County,OKLAHOMA,Rural
40017,140455,Canadian County,OKLAHOMA,Urban
40077,10348,Latimer County,OKLAHOMA,Rural
40139,20805,Texas County,OKLAHOMA,Rural
40127,11128,Pushmataha County,OKLAHOMA,Rural
40069,11064,Johnston County,OKLAHOMA,Rural
40007,5377,Beaver County,OKLAHOMA,Rural
40063,13372,Hughes County,OKLAHOMA,Rural
40031,121762,Comanche County,OKLAHOMA,Urban
40001,22220,Adair County,OKLAHOMA,Rural
40137,43647,Stephens County,OKLAHOMA,Rural
40019,48319,Carter County,OKLAHOMA,Rural
40055,5861,Greer County,OKLAHOMA,Rural
40091,19725,McIntosh County,OKLAHOMA,Rural
40099,13946,Murray County,OKLAHOMA,Rural
40115,31454,Ottawa County,OKLAHOMA,Rural
40145,78958,Wagoner County,OKLAHOMA,Urban
40015,29242,Caddo County,OKLAHOMA,Rural
40101,68736,Muskogee County,OKLAHOMA,Rural
40013,46457,Bryan County,OKLAHOMA,Rural
41029,216574,Jackson County,OREGON,Urban
41023,7189,Grant County,OREGON,Rural
41005,410463,Clackamas County,OREGON,Urban
41057,26389,Tillamook County,OREGON,Rural
41033,86251,Josephine County,OREGON,Rural
41059,77129,Umatilla County,OREGON,Rural
41009,51375,Columbia County,OREGON,Urban
41065,26130,Wasco County,OREGON,Rural
13209,9058,Montgomery County,GEORGIA,Rural
13247,89717,Rockdale County,GEORGIA,Urban
13309,7928,Wheeler County,GEORGIA,Rural
13011,18708,Banks County,GEORGIA,Rural
13059,126176,Clarke County,GEORGIA,Urban
13127,84470,Glynn County,GEORGIA,Urban
13157,67885,Jackson County,GEORGIA,Rural
13169,28579,Jones County,GEORGIA,Urban
13215,195739,Muscogee County,GEORGIA,Urban
13259,6293,Stewart County,GEORGIA,Rural
13287,7943,Turner County,GEORGIA,Rural
13003,8239,Atkinson County,GEORGIA,Rural
13007,3132,Baker County,GEORGIA,Urban
13043,10812,Candler County,GEORGIA,Rural
13045,117183,Carroll County,GEORGIA,Urban
13081,22713,Crisp County,GEORGIA,Rural
13067,751218,Cobb County,GEORGIA,Urban
13083,16197,Dade County,GEORGIA,Urban
13027,15590,Brooks County,GEORGIA,Urban
13105,19166,Elbert County,GEORGIA,Rural
13165,8793,Jenkins County,GEORGIA,Rural
13217,108079,Newton County,GEORGIA,Urban
13071,45486,Colquitt County,GEORGIA,Rural
13063,283538,Clayton County,GEORGIA,Urban
13139,198667,Hall County,GEORGIA,Urban
15009,165979,Maui County,HAWAII,Rural
16071,4385,Oneida County,IDAHO,Rural
16045,17331,Gem County,IDAHO,Urban
16003,4097,Adams County,IDAHO,Rural
16053,23730,Jerome County,IDAHO,Rural
16061,3838,Lewis County,IDAHO,Rural
16073,11552,Owyhee County,IDAHO,Urban
16021,11845,Boundary County,IDAHO,Rural
16029,6953,Caribou County,IDAHO,Rural
16005,85765,Bannock County,IDAHO,Urban
16019,114392,Bonneville County,IDAHO,Urban
16027,217633,Canyon County,IDAHO,Urban
16057,39505,Latah County,IDAHO,Rural
17167,196861,Sangamon County,ILLINOIS,Urban
17157,32295,Randolph County,ILLINOIS,Rural
17141,51025,Ogle County,ILLINOIS,Rural
17137,34247,Morgan County,ILLINOIS,Rural
17193,13868,White County,ILLINOIS,Rural
17071,6809,Henderson County,ILLINOIS,Rural
17113,172578,McLean County,ILLINOIS,Urban
17145,21251,Perry County,ILLINOIS,Rural
17161,143873,Rock Island County,ILLINOIS,Urban
17185,11546,Wabash County,ILLINOIS,Rural
17035,10836,Cumberland County,ILLINOIS,Rural
17085,21588,Jo Daviess County,ILLINOIS,Rural
17101,16033,Lawrence County,ILLINOIS,Rural
17123,11679,Marshall County,ILLINOIS,Urban
17021,32931,Christian County,ILLINOIS,Rural
17077,57977,Jackson County,ILLINOIS,Rural
17143,182770,Peoria County,ILLINOIS,Urban
17147,16401,Piatt County,ILLINOIS,Urban
17175,5447,Stark County,ILLINOIS,Urban
17005,16589,Bond County,ILLINOIS,Urban
17015,14466,Carroll County,ILLINOIS,Rural
17083,21937,Jersey County,ILLINOIS,Urban
24027,318855,Howard County,MARYLAND,Urban
24033,908670,Prince George's County,MARYLAND,Urban
24003,571275,Anne Arundel County,MARYLAND,Urban
24005,828018,Baltimore County,MARYLAND,Urban
24021,251422,Frederick County,MARYLAND,Urban
24009,91511,Calvert County,MARYLAND,Urban
24023,29235,Garrett County,MARYLAND,Rural
24029,19536,Kent County,MARYLAND,Rural
24031,1043530,Montgomery County,MARYLAND,Urban
2050,18134,Bethel Census Area,ALASKA,Rural
2220,8640,Sitka City and Borough,ALASKA,Rural
2090,99072,Fairbanks North Star Borough,ALASKA,Urban
2130,13800,Ketchikan Gateway Borough,ALASKA,Rural
2170,105369,Matanuska-Susitna Borough,ALASKA,Urban
2180,9988,Nome Census Area,ALASKA,Rural
2070,4961,Dillingham Census Area,ALASKA,Rural
2240,6878,Southeast Fairbanks Census Area,ALASKA,Rural
2020,293531,Anchorage Municipality,ALASKA,Urban
2122,58464,Kenai Peninsula Borough,ALASKA,Rural
2230,1107,Skagway Municipality,ALASKA,Rural
4013,4328810,Maricopa County,ARIZONA,Urban
4009,37996,Graham County,ARIZONA,Rural
4023,46480,Santa Cruz County,ARIZONA,Rural
4012,20793,La Paz County,ARIZONA,Rural
4015,207695,Mohave County,ARIZONA,Urban
